"Day","Description","ManuPreference","CompPreference","AvgUserCount","UserCountStdDev"
"0","F0","flat","audio","0.0000","0.0000"
"0","F0","flat","dvd","0.0000","0.0000"
"0","F0","flat","tv","0.0000","0.0000"
"0","F0","lioneer","audio","0.0000","0.0000"
"0","F0","lioneer","dvd","0.0000","0.0000"
"0","F0","lioneer","tv","0.0000","0.0000"
"0","F0","pg","audio","0.0000","0.0000"
"0","F0","pg","dvd","0.0000","0.0000"
"0","F0","pg","tv","0.0000","0.0000"
"0","F1","flat","audio","0.0000","0.0000"
"0","F1","flat","dvd","0.0000","0.0000"
"0","F1","flat","tv","0.0000","0.0000"
"0","F1","lioneer","audio","0.0000","0.0000"
"0","F1","lioneer","dvd","0.0000","0.0000"
"0","F1","lioneer","tv","0.0000","0.0000"
"0","F1","pg","audio","0.0000","0.0000"
"0","F1","pg","dvd","0.0000","0.0000"
"0","F1","pg","tv","0.0000","0.0000"
"0","F2","flat","audio","0.0000","0.0000"
"0","F2","flat","dvd","0.0000","0.0000"
"0","F2","flat","tv","0.0000","0.0000"
"0","F2","lioneer","audio","0.0000","0.0000"
"0","F2","lioneer","dvd","0.0000","0.0000"
"0","F2","lioneer","tv","0.0000","0.0000"
"0","F2","pg","audio","0.0000","0.0000"
"0","F2","pg","dvd","0.0000","0.0000"
"0","F2","pg","tv","0.0000","0.0000"
"0","Informational Search","flat","audio","0.0000","0.0000"
"0","Informational Search","flat","dvd","0.0000","0.0000"
"0","Informational Search","flat","tv","0.0000","0.0000"
"0","Informational Search","lioneer","audio","0.0000","0.0000"
"0","Informational Search","lioneer","dvd","0.0000","0.0000"
"0","Informational Search","lioneer","tv","0.0000","0.0000"
"0","Informational Search","pg","audio","0.0000","0.0000"
"0","Informational Search","pg","dvd","0.0000","0.0000"
"0","Informational Search","pg","tv","0.0000","0.0000"
"0","Non-Searching","flat","audio","10000.0000","0.0000"
"0","Non-Searching","flat","dvd","10000.0000","0.0000"
"0","Non-Searching","flat","tv","10000.0000","0.0000"
"0","Non-Searching","lioneer","audio","10000.0000","0.0000"
"0","Non-Searching","lioneer","dvd","10000.0000","0.0000"
"0","Non-Searching","lioneer","tv","10000.0000","0.0000"
"0","Non-Searching","pg","audio","10000.0000","0.0000"
"0","Non-Searching","pg","dvd","10000.0000","0.0000"
"0","Non-Searching","pg","tv","10000.0000","0.0000"
"0","Transacted","flat","audio","0.0000","0.0000"
"0","Transacted","flat","dvd","0.0000","0.0000"
"0","Transacted","flat","tv","0.0000","0.0000"
"0","Transacted","lioneer","audio","0.0000","0.0000"
"0","Transacted","lioneer","dvd","0.0000","0.0000"
"0","Transacted","lioneer","tv","0.0000","0.0000"
"0","Transacted","pg","audio","0.0000","0.0000"
"0","Transacted","pg","dvd","0.0000","0.0000"
"0","Transacted","pg","tv","0.0000","0.0000"
"1","F0","flat","audio","531.4750","422.5075"
"1","F0","flat","dvd","535.5875","460.1358"
"1","F0","flat","tv","494.0375","446.0230"
"1","F0","lioneer","audio","543.1625","470.7250"
"1","F0","lioneer","dvd","644.0125","519.3796"
"1","F0","lioneer","tv","558.3750","458.7074"
"1","F0","pg","audio","536.7125","477.3318"
"1","F0","pg","dvd","624.0625","505.9410"
"1","F0","pg","tv","537.1125","444.5712"
"1","F1","flat","audio","317.5250","247.3937"
"1","F1","flat","dvd","294.4625","259.9783"
"1","F1","flat","tv","276.9500","250.7405"
"1","F1","lioneer","audio","295.6375","242.7677"
"1","F1","lioneer","dvd","330.4875","275.2398"
"1","F1","lioneer","tv","282.8750","233.5963"
"1","F1","pg","audio","284.2375","250.1866"
"1","F1","pg","dvd","345.4875","260.1419"
"1","F1","pg","tv","273.9125","221.8809"
"1","F2","flat","audio","180.6000","153.0921"
"1","F2","flat","dvd","161.0625","154.8016"
